data_inicio_semana,absorbing_aerosol_index
2018-07-10,-0.3425362537646222
2018-07-11,-0.9052262917750505
2018-07-12,-1.2495242038597325
2018-07-13,-1.6677641981239473
2018-07-14,-1.2374505843004413
2018-07-15,-0.10580322708472335
2018-07-16,-0.5444370570909394
2018-07-17,-1.4076541444399493
2018-07-18,-1.0350353603061404
2018-07-19,-1.176375166907677
2018-07-20,-1.1931955411220447
2018-07-21,-0.6422363264713494
2018-07-22,-1.0168543073564915
2018-07-23,-0.9370667699437476
2018-07-24,-2.574663211889659
2018-07-25,-1.173509958452742
2018-07-26,-0.49638613861814584
2018-07-27,-1.0753714516768442
2018-07-28,-1.3392680973433924
2018-07-29,-1.2642576104321155
2018-07-30,-1.568866504047941
2018-07-31,-0.5410313783891161
2018-08-01,-1.3386807488573014
2018-08-02,-0.9921557930679515
2018-08-03,-2.097022584365601
2018-08-05,-1.7937264092790193
2018-08-06,-0.8392112837642393
2018-08-07,-1.4966353782297879
2018-08-07,-1.300251203131806
2018-08-08,-1.3188206308288273
2018-08-12,-1.213211065033442
2018-08-13,-0.9411020823319399
2018-08-13,-0.9393316222315822
2018-08-14,-1.4127161862337705
2018-08-15,-1.753464584892934
2018-08-16,-0.36388644829017824
2018-08-17,-1.3483475642217906
2018-08-18,-1.3044430053947664
2018-08-19,-1.1338982726808946
2018-08-20,-1.7024448664831824
2018-08-21,-0.8952559868603934
2018-08-22,-0.8011870556842803
2018-08-23,-0.9935889033006302
2018-08-23,-0.9937232319421749
2018-08-24,-1.5042414108186002
2018-08-25,-1.8695321522420691
2018-08-26,-1.123633396065599
2018-08-27,-0.4008067998904956
2018-08-28,-0.9688548713976338
2018-08-29,-1.0183411208077335
2018-08-30,-1.635684480243146
2018-08-31,-1.6132887136747065
2018-09-01,-0.1671091692677048
2018-09-02,-0.8467411357067904
2018-09-03,-0.9110451504076337
2018-09-04,-1.1494669636840278
2018-09-05,-1.7055895071195042
2018-09-06,-1.197427696959977
2018-09-07,-0.5666331160803887
2018-09-08,-0.909586913052909
2018-09-09,-0.9012078446396121
2018-09-10,-1.6781146719221176
2018-09-11,-1.458163870367641
2018-09-12,0.20683517348420394
2018-09-13,-0.646755968701529
2018-09-14,-1.0894718363616105
2018-09-15,-1.3429283800979692
2018-09-15,-1.3418067215200877
2018-09-16,-1.3852718412674923
2018-09-17,-0.22149154403486637
2018-09-18,-1.0176817954464257
2018-09-19,-1.1127886406461738
2018-09-20,-0.9919422499726517
2018-09-21,-1.7912872082578253
2018-09-22,-1.80816506532015
2018-09-22,-1.8065392643111893
2018-09-23,0.143436412786835
2018-09-24,-0.9261366582312924
2018-09-25,-1.681982011883668
2018-09-26,-2.1573517900354005
2018-09-27,-1.189101938757557
2018-09-28,-0.27536603039838065
2018-09-29,-0.3575241410252631
2018-09-30,-0.7867010693910003
2018-10-01,-1.4749947871188058
2018-10-02,-0.6318945241904949
2018-10-03,-0.04982350756845333
2018-10-04,-0.7406913688254677
2018-10-05,-1.3503365050134872
2018-10-06,-1.1742727431872957
2018-10-07,-2.279881415592608
2018-10-08,-1.3984871058871688
2018-10-09,-0.4491257241191684
2018-10-10,-0.09905221087232342
2018-10-11,-1.0942639751131504
2018-10-12,-1.5731121290835508
2018-10-13,-1.799501841127173
2018-10-14,0.23836811221147297
2018-10-16,-1.4711464914059997
2018-10-16,-1.4712407462596226
2018-10-17,-1.045030536629815
2018-10-18,-1.4740896869533724
2018-10-19,-0.2681124962420384
2018-10-20,-0.6698854869985825
2018-10-20,-0.6691125267965732
2018-10-21,-0.6100038650828433
2018-10-22,-1.120155827511807
2018-10-23,-1.8802077887137576
2018-10-24,-0.8383902673733639
2018-10-25,-0.4207005586635617
2018-10-26,-1.138639098165707
2018-10-27,-0.9979678081079464
2018-10-28,-1.0873139875321378
2018-10-29,-0.7973786596412396
2018-10-31,-0.44837133838095683
2018-11-01,-1.0334665850641365
2018-11-02,-1.399798476797241
2018-11-03,-2.1213451864437713
2018-11-05,-0.771836942134612
2018-11-06,-0.33794893954758104
2018-11-07,-1.8469061171692205
2018-11-08,-1.3451859596246964
2018-11-09,-1.1582746522121057
2018-11-10,0.09352616211496233
2018-11-11,-0.8996007847642419
2018-11-12,-1.5051220010946387
2018-11-13,-1.6362610357401997
2018-11-14,-1.413976233663264
2018-11-15,0.5404820234278258
2018-11-16,-0.08067477658790591
2018-11-17,-0.7687985018399559
2018-11-18,-1.6792910031342967
2018-11-19,-1.3523073020917058
2018-11-21,1.2678834039770965
2018-11-21,1.2660263604001096
2018-11-22,0.6240697439232161
2018-11-23,-1.361445070057027
2018-11-24,-1.8985154427947988
2018-11-25,-1.200212490702979
2018-11-26,0.10998034901673219
2018-11-27,-1.0040399746969884
2018-11-28,-1.53327448818271
2018-11-29,-2.559479140564941
2018-11-29,-2.559365403530066
2018-11-30,-1.2376975776760115
2018-12-01,-0.015818212653855485
2018-12-02,-0.3626582877415124
2018-12-03,-0.845403448436704
2018-12-03,-0.8488958181443568
2018-12-04,-1.6887437197537911
2018-12-05,-1.5306292929672307
2018-12-07,-0.44975966326866706
2018-12-08,-1.039657066784648
2018-12-08,-1.0357436291898663
2018-12-09,-1.4671104346742587
2018-12-11,-1.5093084653729412
2018-12-12,-0.1562541936290573
2018-12-13,1.3720681861760355
2018-12-14,-0.42694802171642177
2018-12-15,-2.160877561540219
2018-12-16,-1.6753494628935772
